Location,Cam nr,series,picture,species name,Nr,Year,Month ,Day,Hour Exact,Comment,camera brand,Location
Yalbac 603 H,603,H,1190173,Great Curassow,1,2016,1,19,8.47,female bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1190176,Great Curassow,1,2016,1,19,8.47,Female ,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1300265,Great Curassow,1,2016,1,30,10.47,female bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1300269,Great Curassow,1,2016,1,30,10.51,female bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4100453,Great Curassow,1,2016,4,10,9.16,male bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4100457,Great Curassow,1,2016,4,10,11.46,male bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4100461,Great Curassow,1,2016,4,10,16.02,male bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4100464,Great Curassow,1,2016,4,10,5.02,male,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4110469,Great Curassow,1,2016,4,11,6.31,male bird,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4130484,Great Curassow,1,2016,4,13,9.31,male,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1300280,Great Tinamou,1,2016,1,30,2.26,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2030325,Great Tinamou,2,2016,2,3,7.17,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2030328,Great Tinamou,2,2016,2,3,7.17,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1300273,Jaguar,1,2016,1,30,14.04,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2240421,Jaguar,1,2016,3,1,10.45,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1310292,lizard,1,2016,1,31,12.37,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1110021,Margay,1,2016,1,11,13.27,animal mving around in its habitat,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2160405,Ocellated Turkey,1,2016,2,16,7.54,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1100012,Paca,1,2016,1,10,2.1,video,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1130105,Paca,1,2016,1,13,2.52,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2040329,Puma,1,2016,2,4,8.38,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4100449,Puma,1,2016,4,10,5.17,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2060360,Rat,1,2016,2,6,12.2,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2120393,Rat,1,2016,2,12,21.46,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2120400,Rat,1,2016,2,12,11.46,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2020353,Rat,1,2016,2,13,2.06,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2130401,Rat,1,2016,2,13,0.032,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2120396,Rat and dragon fly,1,2016,2,12,9.46,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1200185,Red Brocket Deer,2,2016,1,20,8.44,Mother and its baby,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2230417,Red Brocket Deer,1,2016,2,23,12.59,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4110473,Ruddy Quail Dove ,1,2016,4,13,7,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,1300277,Scaled Pigeon,1,2016,1,30,14.26,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2080372,Scaled Pigeon,1,2016,2,8,7.1,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,4130487,White-tailed Deer,1,2016,4,13,9.31,,Bushnell,Laguna Seca
Yalbac 603 H,603,H,2040333,White-tipped Dove,1,2016,2,4,9.02,,Bushnell,Laguna Seca
Yalbac 603 J,603,J,83,Agouti,1,2016,7,22,7.21,,,Laguna Seca
Yalbac 603 J,603,J,349,Agouti,1,2016,9,1,10.34,,,Laguna Seca
Yalbac 603 J,603,J,353,Agouti,1,2016,9,5,7.5,,,Laguna Seca
Yalbac 603 J,603,J,157,Baird's Tapir,1,2016,8,7,21,,,Laguna Seca
Yalbac 603 J,603,J,217,Baird's Tapir,1,2016,8,15,21.05,,,Laguna Seca
Yalbac 603 J,603,J,241,Common Opossum,1,2016,8,19,19.57,,,Laguna Seca
Yalbac 603 J,603,J,13,Gray fox,1,2016,7,7,10.38,,,Laguna Seca
Yalbac 603 J,603,J,37,Gray fox,1,2016,7,14,8.26,,,Laguna Seca
Yalbac 603 J,603,J,65,Gray fox,1,2016,7,19,9.21,,,Laguna Seca
Yalbac 603 J,603,J,85,Gray fox,1,2016,7,22,9.43,,,Laguna Seca
Yalbac 603 J,603,J,93,Gray fox,1,2016,7,27,5.42,,,Laguna Seca
Yalbac 603 J,603,J,105,Gray fox,1,2016,7,28,12.31,,,Laguna Seca
Yalbac 603 J,603,J,109,Gray fox,1,2016,7,28,13.5,,,Laguna Seca
Yalbac 603 J,603,J,133,Gray fox,1,2016,7,31,8.45,,,Laguna Seca
Yalbac 603 J,603,J,141,Gray fox,1,2016,8,3,11.25,,,Laguna Seca
Yalbac 603 J,603,J,186,Gray fox,1,2016,8,11,8.05,,,Laguna Seca
Yalbac 603 J,603,J,209,Gray fox,1,2016,8,14,11.22,,,Laguna Seca
Yalbac 603 J,603,J,233,Gray fox,1,2016,8,18,10.23,,,Laguna Seca
Yalbac 603 J,603,J,253,Gray fox,1,2016,8,21,0.15,,,Laguna Seca
Yalbac 603 J,603,J,257,Gray fox,1,2016,8,21,6.04,,,Laguna Seca
Yalbac 603 J,603,J,265,Gray fox,1,2016,8,23,4.32,,,Laguna Seca
Yalbac 603 J,603,J,273,Gray fox,1,2016,8,23,12.55,,,Laguna Seca
Yalbac 603 J,603,J,285,Gray fox,1,2016,8,24,8.45,,,Laguna Seca
Yalbac 603 J,603,J,289,Gray fox,1,2016,8,25,8.08,,,Laguna Seca
Yalbac 603 J,603,J,293,Gray fox,1,2016,8,27,12.23,,,Laguna Seca
Yalbac 603 J,603,J,329,Gray fox,1,2016,8,28,23.21,,,Laguna Seca
Yalbac 603 J,603,J,337,Gray fox,1,2016,8,31,9.11,,,Laguna Seca
Yalbac 603 J,603,J,365,Gray fox,1,2016,9,5,12.13,,,Laguna Seca
Yalbac 603 J,603,J,21,Great Curassow,2,2016,7,8,7.41,,,Laguna Seca
Yalbac 603 J,603,J,97,Great Curassow,1,2016,7,27,6.19,,,Laguna Seca
Yalbac 603 J,603,J,125,Great Curassow,1,2016,7,31,5.49,,,Laguna Seca
Yalbac 603 J,603,J,197,Great Curassow,1,2016,8,11,16.13,,,Laguna Seca
Yalbac 603 J,603,J,283,Great Curassow,1,2016,8,24,5.09,,,Laguna Seca
Yalbac 603 J,603,J,345,Great Curassow,1,2016,9,1,6.3,,,Laguna Seca
Yalbac 603 J,603,J,49,Ocellated Turkey,1,2016,7,18,10.21,,,Laguna Seca
Yalbac 603 J,603,J,53,Ocellated Turkey,2,2016,7,18,14.28,,,Laguna Seca
Yalbac 603 J,603,J,101,Ocellated Turkey,1,2016,7,28,8.31,,,Laguna Seca
Yalbac 603 J,603,J,113,Ocellated Turkey,1,2016,7,28,14.45,,,Laguna Seca
Yalbac 603 J,603,J,165,Ocellated Turkey,1,2016,8,9,17.25,,,Laguna Seca
Yalbac 603 J,603,J,169,Ocellated Turkey,3,2016,8,10,5.38,,,Laguna Seca
Yalbac 603 J,603,J,9,Ocelot,1,2016,7,5,23.05,,,Laguna Seca
Yalbac 603 J,603,J,33,Ocelot,1,2016,7,13,2.31,,,Laguna Seca
Yalbac 603 J,603,J,229,Ocelot,1,2016,8,17,4.06,,,Laguna Seca
Yalbac 603 J,603,J,334,Ocelot,1,2016,8,30,0.23,,,Laguna Seca
Yalbac 603 J,603,J,373,Ocelot,1,2016,9,7,0.13,,,Laguna Seca
Yalbac 603 J,603,J,377,Ocelot,1,2016,9,8,2.13,,,Laguna Seca
Yalbac 603 J,603,J,77,Puma,1,2016,7,21,19.28,,,Laguna Seca
Yalbac 603 J,603,J,137,Puma,1,2016,8,2,15.37,,,Laguna Seca
Yalbac 603 J,603,J,205,Puma,1,2016,8,12,17.39,,,Laguna Seca
Yalbac 603 J,603,J,29,Red Brocket Deer,1,2016,7,12,20.07,,,Laguna Seca
Yalbac 603 J,603,J,73,Red Brocket Deer,1,2016,7,21,18.37,,,Laguna Seca
Yalbac 603 J,603,J,149,Red Brocket Deer,1,2016,8,4,23.53,,,Laguna Seca
Yalbac 603 J,603,J,213,Red Brocket Deer,1,2016,8,14,20.57,,,Laguna Seca
Yalbac 603 J,603,J,203,Slaty-breasted Tinamou,1,2016,8,12,8.17,,,Laguna Seca
Yalbac 603 J,603,J,261,Tayra,1,2016,8,21,8.39,,,Laguna Seca
Yalbac 603 J,603,J,301,White-lipped Peccary,15,2016,8,28,10.1,,,Laguna Seca
Yalbac 603 J,603,J,89,White-nosed Coati,1,2016,7,24,15.42,,,Laguna Seca
Yalbac 603 J,603,J,145,White-tailed Deer,1,2016,8,4,13.26,,,Laguna Seca
Yalbac 603 J,603,J,153,White-tailed Deer,1,2016,8,6,9.08,,,Laguna Seca
Yalbac 603 J,603,J,193,White-tailed Deer,1,2016,8,11,15.36,,,Laguna Seca
Yalbac 603 J,603,J,222,White-tailed Deer,3,2016,8,16,14.25,,,Laguna Seca
Yalbac 603 J,603,J,269,White-tailed Deer,1,2016,8,23,9.26,,,Laguna Seca
Yalbac 603 J,603,J,357,White-tailed Deer,1,2016,9,5,11.06,,,Laguna Seca
Yalbac 603 K,603,K,101,Agouti,1,2016,10,8,5.57,,,Laguna Seca
Yalbac 603 K,603,K,121,Agouti,1,2016,10,12,15.57,,,Laguna Seca
Yalbac 603 K,603,K,129,Agouti,1,2016,10,15,6.05,,,Laguna Seca
Yalbac 603 K,603,K,169,Agouti,1,2016,10,24,7,,,Laguna Seca
Yalbac 603 K,603,K,173,Agouti,1,2016,10,24,9.12,,,Laguna Seca
Yalbac 603 K,603,K,49,Baird's Tapir,1,2016,9,24,3.01,,,Laguna Seca
Yalbac 603 K,603,K,233,Chachalaka,1,2016,11,17,7.51,,,Laguna Seca
Yalbac 603 K,603,K,33,Common Opossum,1,2016,9,13,23.55,,,Laguna Seca
Yalbac 603 K,603,K,29,Gray fox,1,2016,9,13,18.29,,,Laguna Seca
Yalbac 603 K,603,K,53,Gray fox,1,2016,9,26,12,,,Laguna Seca
Yalbac 603 K,603,K,61,Gray fox,1,2016,9,27,4.34,,,Laguna Seca
Yalbac 603 K,603,K,65,Gray fox,1,2016,9,27,10.35,,,Laguna Seca
Yalbac 603 K,603,K,85,Gray fox,1,2016,10,3,12.57,,,Laguna Seca
Yalbac 603 K,603,K,89,Gray fox,1,2016,10,4,3.51,,,Laguna Seca
Yalbac 603 K,603,K,117,Gray fox,1,2016,10,11,16.12,,,Laguna Seca
Yalbac 603 K,603,K,125,Gray fox,1,2016,10,14,4.37,,,Laguna Seca
Yalbac 603 K,603,K,145,Gray fox,1,2016,10,21,12.16,,,Laguna Seca
Yalbac 603 K,603,K,237,Gray fox,1,2016,11,21,4.25,,,Laguna Seca
Yalbac 603 K,603,K,245,Gray fox,1,2016,11,22,13.23,,,Laguna Seca
Yalbac 603 K,603,K,262,Gray fox,1,2016,11,30,4.07,,,Laguna Seca
Yalbac 603 K,603,K,81,Great Curassow,1,2016,10,3,11.54,,,Laguna Seca
Yalbac 603 K,603,K,149,Great Curassow,2,2016,10,22,6.18,,,Laguna Seca
Yalbac 603 K,603,K,162,Great Curassow,2,2016,10,22,15.58,,,Laguna Seca
Yalbac 603 K,603,K,185,Great Curassow,1,2016,10,27,13.5,,,Laguna Seca
Yalbac 603 K,603,K,209,Great Curassow,1,2016,11,5,16.19,,,Laguna Seca
Yalbac 603 K,603,K,281,Great Curassow,1,2016,12,6,7.18,,,Laguna Seca
Yalbac 603 K,603,K,141,Jaguar,1,2016,10,21,9.47,,,Laguna Seca
Yalbac 603 K,603,K,249,Jaguar,1,2016,11,23,7.08,,,Laguna Seca
Yalbac 603 K,603,K,257,Jaguar,1,2016,11,24,18.35,,,Laguna Seca
Yalbac 603 K,603,K,213,Ocellated Turkey,1,2016,11,6,11.24,,,Laguna Seca
Yalbac 603 K,603,K,241,Ocellated Turkey,1,2016,11,22,7,,,Laguna Seca
Yalbac 603 K,603,K,57,Ocelot,1,2016,9,26,13.05,,,Laguna Seca
Yalbac 603 K,603,K,205,Ocelot,1,2016,11,3,19.36,,,Laguna Seca
Yalbac 603 K,603,K,177,Paca,1,2016,10,25,19.03,,,Laguna Seca
Yalbac 603 K,603,K,13,Puma,1,2016,9,11,3.18,,,Laguna Seca
Yalbac 603 K,603,K,25,Puma,1,2016,9,13,2.54,,,Laguna Seca
Yalbac 603 K,603,K,181,Puma,1,2016,10,26,3.2,,,Laguna Seca
Yalbac 603 K,603,K,37,Slaty-breasted Tinamou,1,2016,9,16,9.42,,,Laguna Seca
Yalbac 603 K,603,K,137,Slaty-breasted Tinamou,1,2016,10,19,15.58,,,Laguna Seca
Yalbac 603 K,603,K,225,Tayra,2,2016,11,15,6.56,,,Laguna Seca
Yalbac 603 K,603,K,273,White-tailed Deer,1,2016,12,1,10.28,,,Laguna Seca
Yalbac 604 H,604,H,4,Gray fox,1,2016,1,10,18.39,, scoutguard ,Laguna Seca
Yalbac 604 H,604,H,9,Gray fox,1,2016,1,12,20.09,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,17,Gray fox,1,2016,1,18,5.35,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,26,Gray fox,1,2016,1,22,19.42,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,27,Gray fox,1,2016,1,25,21.2,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,58,Gray fox,1,2016,2,8,4.53,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,67,Gray fox,1,2016,2,13,8.25,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,73,Gray fox,1,2016,2,14,4.19,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,80,Gray fox,1,2016,2,18,12.4,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,87,Gray fox,1,2016,2,20,0.16,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,98,Gray fox,1,2016,2,23,20.5,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,37,Gray-headed Dove,1,2016,1,31,7.43,,scoutguard,Laguna Seca
Yalbac 604 H,604,H,39,Gray-headed Dove,1,2016,2,5,15.56,,scoutguard,Laguna Seca
