"site","Date.Placement.x","Days.x","Last.Record_clean","Northing.x","Easting.x","Easting","Northing","Lat","Lon","Functioning.","Brand.x","Date.Placement.y","Date.Removed","Days.y","Brand.y","Days....","Conservation.Area","Active.Logging","Logged.in.Year","Hurricane.Damage","Fire.Damage","Location.descr.","Landscape","Notes"
"401C2",2014-07-18,60,2014-09-17,1928079,306148,305786,1928483,17.4357220016,-88.82854,"","Moultry","July 18, 2014","2014-09-18",60,"Moultry",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"407C2",2014-07-18,50,2014-09-14,1932109,287745,283444,1934825,17.4909660016,-89.039448,"","Bushnell","July 18, 2014","2014-09-18",50,"Bushnell",NA,"No","No",NA,"Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",""
"402C2",2014-07-18,60,2014-09-17,1927657,303764,303878,1927199,17.4239530017,-88.8463879999,"","Bushnell","July 18, 2014","2014-09-18",60,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Logging Road","Broadleaf forest, broken canopy",""
"408C2",2014-07-18,50,2014-09-18,1933425,283344,291805,1929881,17.4470980016,-88.960261,"","Scoutguard","July 18, 2014","2014-09-18",50,"Scoutguard",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"404D",2014-09-18,40,2014-10-31,1927456,304744,304744,1927456,17.4263510016,-88.8382529999,"","Scoutguard","September 18, 2014","2014-11-03",40,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Excavated Maya site","Secondary Forest",""
"402D",2014-09-18,40,2014-11-02,1927199,303878,303878,1927199,17.4239530017,-88.8463879999,"","Bushnell","September 18, 2014","2014-11-03",40,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Logging Road","Broadleaf forest, broken canopy",""
"413D",2014-09-18,44,2014-11-02,1927087,302850,302850,1927087,17.4228570016,-88.8560519999,"","Bushnell","September 18, 2014","2014-11-03",44,"Bushnell",NA,"Yes","No","na","Yes","Yes","Logging Road","Broadleaf forest, broken canopy",""
"405D",2014-09-18,44,2014-11-03,1934622,283565,283565,1934622,17.4891490016,-89.038284,"","Moultry","September 18, 2014","2014-11-03",44,"Moultry",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"401D",2014-09-18,40,2014-11-03,1928483,305786,305786,1928483,17.4357220016,-88.82854,"","Moultry","September 18, 2014","2014-11-03",40,"Moultry",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"407D",2014-09-18,44,2014-11-02,1934825,283444,283444,1934825,17.4909660016,-89.039448,"","Bushnell","September 18, 2014","2014-11-03",44,"Bushnell",NA,"No","No",NA,"Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",""
"403D",2014-09-18,44,2014-11-03,1926303,290967,290967,1926303,17.4146940016,-88.9678,"","Bushnell","September 18, 2014","2014-11-03",44,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Valley","Broadleaf forest, broken canopy",""
"407E",2014-11-03,45,2014-12-22,1935262,284554,284554,1935262,17.4950200016,-89.029038,"","Bushnell","November 3, 2014","2014-12-22",45,"Bushnell",NA,"No","No",NA,"Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",""
"402E",2014-11-03,44,2014-12-18,1927582,303760,303760,1927582,17.4274090016,-88.8475319999,"","Bushnell","November 3, 2014","2014-12-22",44,"Bushnell",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"404E",2014-11-03,37,2014-12-15,1927840,304653,304653,1927840,17.4298160016,-88.8391449999,"","Scoutguard","November 3, 2014","2014-12-22",37,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Open spot in forest","Secondary Forest",""
"407F",2014-12-22,47,2015-02-08,1935951,288175,288175,1935951,17.5015980015,-88.9950249999,"","Bushnell","December 22, 2014","2015-02-18",47,"Bushnell",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"411F",2014-12-22,47,2015-02-08,1928983,291694,291694,1928983,17.4389720016,-88.9612199999,"","Scoutguard","December 22, 2014","2015-02-18",47,"Scoutguard",NA,"No","No",NA,"Yes","No","Near seasonal stream spot","Broadleaf forest, broken canopy",""
"404F",2014-12-22,47,2015-02-17,1927840,304653,304653,1927840,17.4298160016,-88.8391449999,"","Scoutguard","December 22, 2014","2015-02-18",47,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"402F",2014-12-22,47,2015-02-17,1927588,303762,303762,1927588,17.4274560016,-88.8475099999,"","Bushnell","December 22, 2014","2015-02-18",47,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"403F",2014-12-22,47,2015-02-17,1929549,291689,291689,1929549,17.4440910016,-88.9613189999,"","Bushnell","December 22, 2014","2015-02-18",47,"Bushnell",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"412D",2014-09-18,44,2014-11-02,1933216,283343,283343,1933216,17.4764280016,-89.040235,"","Scoutguard","September 18, 2014","2014-11-03",44,"Scoutguard",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"406A",2014-03-18,35,2014-04-23,1933228,283348,283348,1933228,17.476532237,-89.0401895347,"","Bushnell","March 18, 2014","2014-04-23",35,"Bushnell",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"409A",2014-03-18,28,2014-04-16,1934000,283362,283362,1934000,17.4835112031,-89.0401375318,"","Moultry","March 18, 2014","2014-04-23",28,"Moultry",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"401A",2014-03-18,27,2014-04-23,1927437,299505,299505,1927437,17.4257174219,-88.8875612379,"","Moultry","March 18, 2014","2014-04-23",27,"Moultry",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"405A",2014-03-18,35,2014-04-23,1932759,283423,283423,1932759,17.4723052571,-89.0394385399,"","Moultry","March 18, 2014","2014-04-23",35,"Moultry",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"408B",2014-04-23,25,2014-05-23,1935106,284005,284005,1935106,17.4935651171,-89.0341901613,"","Scoutguard","April 23, 2014","2014-05-28",25,"Scoutguard",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"411B",2014-04-23,35,2014-05-29,1931474,283544,283544,1931474,17.4607118221,-89.0381672465,"","Scoutguard","April 23, 2014","2014-05-28",35,"Scoutguard",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"412B",2014-04-23,35,2014-05-29,1931719,283420,283420,1931719,17.4629097081,-89.0393582708,"","Scoutguard","April 23, 2014","2014-05-28",35,"Scoutguard",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"408C",2014-05-28,48,2014-07-18,1933425,283344,283344,1933425,17.4783162207,-89.040248008,"","Scoutguard","May 28, 2014","2014-07-18",48,"Scoutguard",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"411C",2014-05-28,48,2014-07-16,1933215,283393,283393,1933215,17.4764242174,-89.0397630013,"","Scoutguard","May 28, 2014","2014-07-18",48,"Scoutguard",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"410C",2014-05-28,50,2014-07-18,1934360,286612,286612,1934360,17.4870732493,-89.0095806422,"","Moultry","May 28, 2014","2014-07-18",50,"Moultry",NA,"No","No","2013","Yes","no","Logging Road","Broadleaf forest, broken canopy",""
"407C",2014-05-28,45,2014-07-16,1932109,287745,287745,1932109,17.4668442166,-88.9986865021,"","Bushnell","May 28, 2014","2014-07-18",45,"Bushnell",NA,"No","No","2013","Yes","no","Logging Road","Broadleaf forest, broken canopy",""
"405C2",2014-07-18,50,2014-09-07,1933798,283406,283565,1934622,17.4891490016,-89.038284,"","Moultry","July 18, 2014","2014-09-18",50,"Moultry",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"406C2",2014-07-18,50,2014-09-17,1934195,283359,292120,1930183,17.4498590016,-88.9573259999,"","Bushnell","July 18, 2014","2014-09-18",50,"Bushnell",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"410C2",2014-07-18,48,2014-09-19,1934360,286612,291398,1929086,17.4398830016,-88.9640109999,"","Moultry","July 18, 2014","2014-09-18",48,"Moultry",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"410D",2014-09-18,44,2014-11-03,1929086,291398,291398,1929086,17.4398830016,-88.9640109999,"","Moultry","September 18, 2014","2014-11-03",44,"Moultry",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"409D",2014-09-18,44,2014-11-02,1934953,283208,283208,1934953,17.4921070016,-89.041685,"","Moultry","September 18, 2014","2014-11-03",44,"Moultry",NA,"No","No",NA,"Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",""
"403E",2014-11-03,45,2014-12-21,1935282,287303,287303,1935282,17.4954690016,-89.003162,"","Bushnell","November 3, 2014","2014-12-22",45,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"409E",2014-11-03,12,2014-12-15,1934963,283847,283847,1934963,17.4922560016,-89.035663,"","Moultry","November 3, 2014","2014-12-22",12,"Moultry",NA,"No","No",NA,"Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",""
"405E",2014-11-03,32,2014-12-18,1933999,283533,283533,1933999,17.4835130016,-89.038526,"","Moultry","November 3, 2014","2014-12-22",32,"Moultry",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"405F",2014-12-22,47,2015-02-15,1935699,285409,285409,1935699,17.4990550016,-89.021035,"","Moultry","December 22, 2014","2015-02-18",47,"Moultry",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"413F",2014-12-22,47,2015-02-17,1928611,305716,305716,1928611,17.4368730016,-88.8292139999,"","Scoutguard","December 22, 2014","2015-02-18",47,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"404B",2014-04-23,30,2014-05-24,1928442,305818,305818,1928442,17.4353551153,-88.8282329389,"","Scoutguard","April 23, 2014","2014-05-28",30,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Logging Road","Secondary Forest",""
"409C2",2014-07-18,50,2014-09-17,1932206,287509,283208,1934953,17.4921070016,-89.041685,"","Moultry","July 18, 2014","2014-09-18",50,"Moultry",NA,"No","No",NA,"Yes","No","Narrow survey trail","Broadleaf forest, broken canopy",""
"410A",2014-03-18,35,2014-04-23,1934009,282533,282533,1934009,17.4835072063,-89.047937497,"","Moultry","March 18, 2014","2014-04-23",35,"Moultry",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"406B",2014-04-23,35,2014-05-29,1934171,283558,283558,1934171,17.4850755579,-89.0383042467,"","Bushnell","April 23, 2014","2014-05-28",35,"Bushnell",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"403B",2014-04-23,28,2014-05-28,1926257,291227,291227,1926257,17.4143072239,-88.9653467565,"","Bushnell","April 23, 2014","2014-05-28",28,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Valley","Broadleaf forest, broken canopy",""
"413C",2014-05-28,48,2014-07-16,1927594,302854,302854,1927594,17.4274301975,-88.8560577686,"","Bushnell","May 28, 2014","2014-07-18",48,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Logging Road","Secondary Forest",""
"407A",2014-03-18,35,2014-04-23,1934017,282835,282835,1934017,17.4836072046,-89.0450965097,"","Bushnell","March 18, 2014","2014-04-23",35,"Bushnell",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"403C2",2014-07-18,48,2014-09-18,1926510,290976,290967,1926303,17.4146940016,-88.9678,"","Bushnell","July 18, 2014","2014-09-18",48,"Bushnell",NA,"Yes","No",NA,"Yes","Yes","Valley","Broadleaf forest, broken canopy",""
"413E",2014-11-03,35,2014-12-14,1928611,305716,305716,1928611,17.4368750016,-88.8292119999,"","Scoutguard","November 3, 2014","2014-12-22",35,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Seismic line","Secondary Forest",""
"409F",2014-12-22,23,2015-02-17,1936481,290371,290371,1936481,17.5065910016,-88.974401,"","Moultry","December 22, 2014","2015-02-18",23,"Moultry",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"404C2",2014-07-18,10,2014-08-26,1927908,304607,304744,1927456,17.4263510016,-88.8382529999,"","Scoutguard","July 18, 2014","2014-09-18",10,"Scoutguard",NA,"Yes","No",NA,"Yes","Yes","Excavated Maya site","Secondary Forest",""
"408D",2014-09-18,5,2014-09-24,1929881,291805,291805,1929881,17.4470980016,-88.960261,"","Scoutguard","September 18, 2014","2014-11-03",5,"Scoutguard",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"406D",2014-09-18,44,2014-11-02,1930183,292120,292120,1930183,17.4498590016,-88.9573259999,"","Bushnell","September 18, 2014","2014-11-03",44,"Bushnell",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"406E",2014-11-03,45,2014-12-20,1935340,286926,286926,1935340,17.4959560016,-89.006717,"","Bushnell","November 3, 2014","2014-12-22",45,"Bushnell",NA,"No","No","2013","Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"412E",2014-11-03,14,2014-12-20,1933012,283384,283384,1933012,17.4745900016,-89.03983,"","Scoutguard","November 3, 2014","2014-12-22",14,"Scoutguard",NA,"No","No",NA,"Yes","No","Logging Road","Broadleaf forest, broken canopy",""
"407B",2014-04-23,10,2014-05-26,1934101,282356,282356,1934101,17.4843205982,-89.0496124791,"","Bushnell","April 23, 2014","2014-05-28",10,"Bushnell",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"409B",2014-04-23,35,2014-05-29,1934101,283090,283090,1934101,17.4843905939,-89.0427083372,"","Moultry","April 23, 2014","2014-05-28",35,"Moultry",NA,"No","No",NA,"Yes","No","Stock Transect","Broadleaf forest, broken canopy",""
"408E",2014-11-03,4,2014-11-08,1931466,287879,287879,1931466,17.4610490016,-88.99737,"","Scoutguard","November 3, 2014","2014-12-22",4,"Scoutguard",NA,"No","No",NA,"Yes","No","Near swampy spot","Low Scrub forest",""
"401C",2014-05-28,12,2014-06-11,1928483,305786,306148,1928079,17.4320982168,-88.8250943977,"","Moultry","May 28, 2014","2014-07-18",12,"Moultry",NA,"Yes","No",NA,"Yes","Yes","Logging Road","Secondary Forest",""
