"Name","Date.Placement.x","Days.x","Last.record.x","Northing.y","Easting.y","Logging","Property","Brand","Date.Placement.y","Date.Removed","Last.record.y","Days.y","Easting","Northing","Lat","Long","X","X.1","X.2","X.3","X.4"
"02B",2020-03-14,18,2020-04-03,1938089,284998,"Yes","Yalbac","Bushnel",20200314,20200509,20200403,18,284998,1938089,17.518768,-89.025183,NA,NA,NA,NA,NA
"01C",2020-05-09,35,2020-06-13,1939897,286793,"Yes","Yalbac","Bushnel",20200509,20200613,20200613,35,286793,1939897,17.535266,-89.008462,NA,NA,NA,NA,NA
"03C",2020-05-09,35,2020-06-13,1939229,284478,"Yes","Yalbac","Bushnel",20200509,20200613,20200613,35,284478,1939229,17.52901,-89.030195,NA,NA,NA,NA,NA
"13F",2020-09-19,35,2020-10-24,1951348,289288,"Yes","Laguna Seca","Bushnel",20200919,20201024,20201024,35,289288,1951348,17.638948,-88.986102,NA,NA,NA,NA,NA
"03F",2020-08-22,28,2020-09-19,1939502,284574,"Yes","Laguna Seca","Bushnel",20200822,20200919,20200919,28,284574,1939502,17.531492,-89.029319,NA,NA,NA,NA,NA
"11B",2020-03-14,1,2020-04-15,1952392,290911,"Yes","Laguna Seca","Bushnel",20200314,20200422,20200314,1,290911,1952392,17.64853,-88.970907,NA,NA,NA,NA,NA
"04F",2020-09-19,29,2020-10-18,1948689,286800,"Yes","Laguna Seca","Bushnel",20200919,20201024,20201018,29,286800,1948689,17.614695,-89.009273,NA,NA,NA,NA,NA
"03H",2020-10-24,32,2020-11-25,1939133,284100,"Yes","Yalbac","Bushnel",20201024,20201128,20201125,32,284100,1939133,17.528113,-89.033738,NA,NA,NA,NA,NA
"06E",2020-07-18,0,2020-08-22,1935916,285420,"Yes","Yalbac","Bushnel",20200808,20200919,20200808,0,285420,1935916,17.499174,-89.020995,NA,NA,NA,NA,NA
"06H",2020-10-24,35,2020-11-28,1935914,285400,"Yes","Yalbac","Bushnel",20201024,20201128,20201128,35,285400,1935914,17.499154,-89.021176,NA,NA,NA,NA,NA
"05D",2020-06-27,41,2020-08-08,1956957,285350,"No","Laguna Seca","Bushnel",20200627,20200808,20200808,41,285350,1956957,17.689239,-89.023768,NA,NA,NA,NA,NA
"11A",2020-02-01,43,2020-03-14,1952397,290901,"No","Laguna Seca","Bushnel",20200201,20200314,20200314,43,290901,1952397,17.648577,-88.971001,NA,NA,NA,NA,NA
"13A",2020-02-01,43,2020-03-14,1951376,289492,"No","Laguna Seca","Bushnel",20200201,20200314,20200314,43,289492,1951376,17.639221,-88.98418,NA,NA,NA,NA,NA
"04A",2020-02-01,43,2020-03-14,1954694,286227,"No","Laguna Seca","Bushnel",20200201,20200314,20200314,43,286227,1954694,17.668885,-89.015273,NA,NA,NA,NA,NA
"12B",2020-03-14,69,2020-05-22,1952783,286513,"No","Laguna Seca","Bushnel",20200314,20200422,20200522,69,286513,1952783,17.65165,-89.012387,NA,NA,NA,NA,NA
"12C",2020-05-22,36,2020-06-27,1953545,286025,"No","Laguna Seca","Bushnel",20200522,20200627,20200627,36,286025,1953545,17.658479,-89.017063,NA,NA,NA,NA,NA
"13G",2020-10-24,35,2020-11-28,1950631,288353,"No","Laguna Seca","Bushnel",20201024,20201128,20201128,35,288353,1950631,17.63238,-88.994834,NA,NA,NA,NA,NA
"01A",2020-02-01,43,2020-03-14,1938201,284283,"No","Yalbac","Bushnel",20200201,20200314,20200314,43,284283,1938201,17.519712,-89.031925,NA,NA,NA,NA,NA
"02A",2020-02-01,43,2020-03-14,1938088,284995,"No","Yalbac","Bushnel",20200201,20200314,20200314,43,284995,1938088,17.518753,-89.025215,NA,NA,NA,NA,NA
"03A",2020-02-01,43,2020-03-14,1939227,284479,"No","Yalbac","Bushnel",20200201,20200314,20200314,43,284479,1939227,17.528991,-89.030179,NA,NA,NA,NA,NA
"06A",2020-02-01,43,2020-03-14,1935603,286075,"No","Yalbac","Bushnel",20200201,20200314,20200314,43,286075,1935603,17.496408,-89.014795,NA,NA,NA,NA,NA
"05A",2020-02-01,43,2020-03-14,1956765,285539,"No","Laguna Seca","Bushnel",20200201,20200314,20200314,43,285539,1956765,17.68752,-89.021967,NA,NA,NA,NA,NA
"05B",2020-03-14,69,2020-05-22,1956759,285537,"No","Laguna Seca","Bushnel",20200314,20200422,20200422,69,285537,1956759,17.687468,-89.02198,NA,NA,NA,NA,NA
"05C",2020-05-22,36,2020-06-27,1956946,285349,"No","Laguna Seca","Bushnel",20200522,20200627,20200627,36,285349,1956946,17.689141,-89.023771,NA,NA,NA,NA,NA
"12A",2020-02-01,43,2020-03-14,1950274,286165,"No","Laguna Seca","Bushnel",20200201,20200314,20200314,43,286165,1950274,17.628947,-89.015415,NA,NA,NA,NA,NA
"05F",2020-08-08,29,2020-10-18,1955271,285912,"No","Laguna Seca","Bushnel",20200919,20201024,20201018,29,285912,1955271,17.674066,-89.0183,NA,NA,NA,NA,NA
"12D",2020-06-27,6,2020-07-03,1953549,286018,"No","Laguna Seca","Bushnel",20200627,20200808,20200703,6,286018,1953549,17.658518,-89.017124,NA,NA,NA,NA,NA
"11F",2020-09-19,35,2020-10-24,1952395,290902,"No","Laguna Seca","Bushnel",20200919,20201024,20201024,35,290902,1952395,17.648562,-88.970998,NA,NA,NA,NA,NA
"12G",2020-10-24,18,2020-11-11,1954139,285708,"No","Laguna Seca","Bushnel",20201024,20201024,20201111,18,285708,1954139,17.663823,-89.020105,NA,NA,NA,NA,NA
"12F",2020-09-19,27,2020-10-16,1953720,285821,"No","Laguna Seca","Bushnel",20200919,20201024,20201016,27,285821,1953720,17.660044,-89.019,NA,NA,NA,NA,NA
