Variable,Mean,SD,2.50%,50%,97.50%,Rhat,ESS
mean_elev-Margay,0.055,0.0682,-0.0001,0.0275,0.2567,2.2367,16
mean_elev-Nine-banded Armadillo,-0.0003,0.0045,-0.009,-0.0004,0.0086,1.014,2518
mean_elev-Ocellated Turkey,0.0028,0.0024,-0.0018,0.0028,0.0075,1.0009,10739
mean_elev-Ocelot,0.0064,0.0029,0.0008,0.0063,0.012,1.0015,6384
mean_elev-Paca,-0.0025,0.0024,-0.0072,-0.0024,0.0023,1.0018,9891
mean_elev-Puma,0.0113,0.0078,0.0035,0.0103,0.0206,1.627,86
mean_elev-Red Brocket Deer,0.0066,0.0027,0.0014,0.0066,0.012,1.0003,7608
mean_elev-Ruddy Quail-dove,-0.0012,0.0041,-0.0092,-0.0012,0.0071,1.0083,3612
mean_elev-Russet-naped Woodrail,-0.0038,0.0075,-0.0174,-0.0042,0.0135,1.059,370
mean_elev-Striped Hog-nosed Skunk,0.0117,0.0103,0.003,0.0099,0.0446,2.4633,27
mean_elev-Tayra,-0.001,0.0037,-0.0083,-0.001,0.0063,1.0131,3429
mean_elev-White-lipped Peccary,0.0004,0.004,-0.0074,0.0003,0.0081,1.0011,2861
mean_elev-White-nosed Coati,-0.0023,0.0027,-0.0075,-0.0023,0.0029,1.0007,7333
mean_elev-White-tailed Deer,-0.009,0.0026,-0.0142,-0.009,-0.004,1.0087,5064
mean_elev-Wood Thrush,-0.0076,0.0055,-0.0185,-0.0075,0.0029,1.0072,2149
